cls,precision,recall,baseline,average_precision
N,0.9050421897509776,0.9984107523952231,0.8902138324103642,0.9817703090206553
N,0.9054894370547296,0.9984107523952231,0.8902138324103642,0.9817703090206553
N,0.9059165258951012,0.9983880488580121,0.8902138324103642,0.9817703090206553
N,0.9063234263572283,0.9983426417835899,0.8902138324103642,0.9817703090206553
N,0.9067307295747927,0.9982972347091676,0.8902138324103642,0.9817703090206553
N,0.9071384361460697,0.9982518276347455,0.8902138324103642,0.9817703090206553
N,0.9075465466705197,0.9982064205603233,0.8902138324103642,0.9817703090206553
N,0.9079137582090785,0.9981156064114789,0.8902138324103642,0.9817703090206553
N,0.9082606719285921,0.9980020887254234,0.8902138324103642,0.9817703090206553
N,0.9086699466655641,0.9979566816510013,0.8902138324103642,0.9817703090206553
N,0.9090382626680455,0.9978658675021569,0.8902138324103642,0.9817703090206553
N,0.9094483300914622,0.9978204604277346,0.8902138324103642,0.9817703090206553
N,0.9098588050184258,0.9977750533533124,0.8902138324103642,0.9817703090206553
N,0.9101868345830398,0.9976388321300459,0.8902138324103642,0.9817703090206553
N,0.9105566377916856,0.9975480179812015,0.8902138324103642,0.9817703090206553
N,0.9109060750570185,0.997434500295146,0.8902138324103642,0.9817703090206553
N,0.9111936273492927,0.9972528719974572,0.8902138324103642,0.9817703090206553
N,0.9115437300236603,0.9971393543114018,0.8902138324103642,0.9817703090206553
N,0.9118941816520619,0.9970258366253463,0.8902138324103642,0.9817703090206553
N,0.9122657580919932,0.9969350224765018,0.8902138324103642,0.9817703090206553
N,0.9125961338599043,0.9967988012532353,0.8902138324103642,0.9817703090206553
N,0.9129892276338227,0.9967306906416019,0.8902138324103642,0.9817703090206553
N,0.9133411010777746,0.9966171729555465,0.8902138324103642,0.9817703090206553
N,0.9136725092634997,0.9964809517322799,0.8902138324103642,0.9817703090206553
N,0.9139834215020619,0.9963220269718022,0.8902138324103642,0.9817703090206553
N,0.9143363200666805,0.9962085092857467,0.8902138324103642,0.9817703090206553
N,0.914752116082225,0.9961631022113245,0.8902138324103642,0.9817703090206553
N,0.9151266113220141,0.9960722880624802,0.8902138324103642,0.9817703090206553
N,0.9154806127133853,0.9959587703764247,0.8902138324103642,0.9817703090206553
N,0.9158349688896312,0.9958452526903692,0.8902138324103642,0.9817703090206553
N,0.9161479005640276,0.9956863279298914,0.8902138324103642,0.9817703090206553
N,0.9165029469548134,0.995572810243836,0.8902138324103642,0.9817703090206553
N,0.916858349713521,0.9954592925577805,0.8902138324103642,0.9817703090206553
N,0.9172559521318884,0.9953911819461472,0.8902138324103642,0.9817703090206553
N,0.9176120902582995,0.9952776642600917,0.8902138324103642,0.9817703090206553
N,0.9179057591623037,0.9950960359624029,0.8902138324103642,0.9817703090206553
N,0.9181787704814985,0.994891704127503,0.8902138324103642,0.9817703090206553
N,0.9185988008888516,0.9948462970530809,0.8902138324103642,0.9817703090206553
N,0.9189773060950543,0.9947554829042364,0.8902138324103642,0.9817703090206553
N,0.9194401309438872,0.9947554829042364,0.8902138324103642,0.9817703090206553
N,0.9198404366995591,0.9946873722926032,0.8902138324103642,0.9817703090206553
N,0.9202201403184472,0.9945965581437588,0.8902138324103642,0.9817703090206553
N,0.9204951452229835,0.9943922263088589,0.8902138324103642,0.9817703090206553
N,0.9208755624710879,0.9943014121600146,0.8902138324103642,0.9817703090206553
N,0.9212353262927588,0.994187894473959,0.8902138324103642,0.9817703090206553
N,0.9215744053883393,0.9940516732506924,0.8902138324103642,0.9817703090206553
N,0.9219559449100787,0.9939608591018481,0.8902138324103642,0.9817703090206553
N,0.922401078757743,0.9939381555646369,0.8902138324103642,0.9817703090206553
N,0.9227623424259033,0.9938246378785814,0.8902138324103642,0.9817703090206553
N,0.9231239718226684,0.9937111201925259,0.8902138324103642,0.9817703090206553
N,0.9235070690018992,0.9936203060436816,0.8902138324103642,0.9817703090206553
N,0.9238905544061141,0.9935294918948372,0.8902138324103642,0.9817703090206553
N,0.9242533057327531,0.9934159742087817,0.8902138324103642,0.9817703090206553
N,0.9245741578257746,0.9932570494483041,0.8902138324103642,0.9817703090206553
N,0.9249587685541506,0.9931662352994597,0.8902138324103642,0.9817703090206553
N,0.9253649248995134,0.9930981246878263,0.8902138324103642,0.9817703090206553
N,0.9257291622571223,0.9929846070017708,0.8902138324103642,0.9817703090206553
N,0.9260514167125492,0.9928256822412932,0.8902138324103642,0.9817703090206553
N,0.9263951862367049,0.9926894610180266,0.8902138324103642,0.9817703090206553
N,0.9268240980200958,0.9926440539436044,0.8902138324103642,0.9817703090206553
N,0.927253446447508,0.9925986468691822,0.8902138324103642,0.9817703090206553
N,0.9275771336417264,0.9924397221087046,0.8902138324103642,0.9817703090206553
N,0.9279011506942381,0.9922807973482268,0.8902138324103642,0.9817703090206553
N,0.9282892221419772,0.9921899831993825,0.8902138324103642,0.9817703090206553
N,0.9285714285714286,0.9919856513644826,0.8902138324103642,0.9817703090206553
N,0.9289177120986605,0.991849430141216,0.8902138324103642,0.9817703090206553
N,0.9292218014721525,0.9916678018435272,0.8902138324103642,0.9817703090206553
