cls,fpr,tpr,auc
N,0.07198085419734904,0.626458702265813,0.879125540329139
N,0.07216494845360824,0.6270262906960905,0.879125540329139
N,0.07290132547864507,0.6275257685147346,0.879125540329139
N,0.07308541973490428,0.6279571357217455,0.879125540329139
N,0.07345360824742268,0.6280252463333788,0.879125540329139
N,0.07363770250368189,0.6282295781682786,0.879125540329139
N,0.0740058910162003,0.6283657993915452,0.879125540329139
N,0.07455817378497791,0.6289333878218226,0.879125540329139
N,0.07492636229749632,0.6293193479544112,0.879125540329139
N,0.07511045655375552,0.6295690868637334,0.879125540329139
N,0.07547864506627393,0.6298642328474776,0.879125540329139
N,0.07566273932253313,0.6300004540707442,0.879125540329139
N,0.07621502209131076,0.6301593788312219,0.879125540329139
N,0.07639911634756996,0.6303864142033329,0.879125540329139
N,0.07676730486008837,0.6310675203196658,0.879125540329139
N,0.07695139911634757,0.6314534804522545,0.879125540329139
N,0.07731958762886598,0.6329973209826091,0.879125540329139
N,0.07750368188512519,0.6334059846524088,0.879125540329139
N,0.0778718703976436,0.6337692412477864,0.879125540329139
N,0.0780559646539028,0.6339508695454752,0.879125540329139
N,0.0784241531664212,0.6341097943059528,0.879125540329139
N,0.07860824742268041,0.6344049402896972,0.879125540329139
N,0.07897643593519882,0.6344276438269082,0.879125540329139
N,0.07916053019145802,0.6349044181083413,0.879125540329139
N,0.07952871870397643,0.6351087499432412,0.879125540329139
N,0.07971281296023564,0.6354265994641966,0.879125540329139
N,0.08008100147275406,0.6355628206874631,0.879125540329139
N,0.08026509572901326,0.6356536348363075,0.879125540329139
N,0.08063328424153167,0.6357217454479408,0.879125540329139
N,0.08081737849779087,0.6358352631339963,0.879125540329139
N,0.08118556701030928,0.6360850020433183,0.879125540329139
N,0.08155375552282769,0.63694773645734,0.879125540329139
N,0.0819219440353461,0.6372428824410843,0.879125540329139
N,0.0821060382916053,0.6376742496480952,0.879125540329139
N,0.08247422680412371,0.6381964310039504,0.879125540329139
N,0.08265832106038291,0.6384234663760614,0.879125540329139
N,0.08302650957290132,0.63880942650865,0.879125540329139
N,0.08321060382916053,0.6392862007900831,0.879125540329139
N,0.08339469808541973,0.6396721609226718,0.879125540329139
N,0.08376288659793814,0.6402170458157381,0.879125540329139
N,0.08413107511045656,0.6403986741134269,0.879125540329139
N,0.08449926362297497,0.6405803024111156,0.879125540329139
N,0.08486745213549338,0.6410797802297598,0.879125540329139
N,0.08505154639175258,0.6413749262135041,0.879125540329139
N,0.08541973490427099,0.6413976297507151,0.879125540329139
N,0.08560382916053019,0.6415565545111929,0.879125540329139
N,0.0859720176730486,0.6416700721972484,0.879125540329139
N,0.0861561119293078,0.641828996957726,0.879125540329139
N,0.08652430044182621,0.6421695500158925,0.879125540329139
N,0.08670839469808542,0.6426236207601145,0.879125540329139
N,0.08707658321060383,0.6426690278345366,0.879125540329139
N,0.08726067746686303,0.6431230985787586,0.879125540329139
N,0.08762886597938144,0.6433728374880806,0.879125540329139
N,0.08799705449189986,0.6435317622485583,0.879125540329139
N,0.08836524300441827,0.644144757753258,0.879125540329139
N,0.08854933726067747,0.6454388593742905,0.879125540329139
