optimiser,evaluations,mean,q25,q75
Random search,500,3.841386834780375,3.0668123960494995,4.396518588066101
Random search,750,3.6061304489771526,2.8458085656166077,4.218762636184692
Random search,1000,3.495478947957357,2.6897313594818115,3.9824677109718323
Random search,1250,3.12978888352712,2.6180859208106995,3.495037078857422
Random search,1500,3.0507699807484943,2.550837814807892,3.476300597190857
Random search,1750,2.9064948161443076,2.4635797142982483,3.2343415021896362
Random search,2000,2.906486980120341,2.4635797142982483,3.2342827320098877
Random search,2250,2.802308201789856,2.3940794467926025,3.1727930307388306
Random search,2500,2.7538953900337217,2.3733394145965576,3.116404414176941
Random search,2750,2.7538953900337217,2.3733394145965576,3.116404414176941
Random search,3000,2.750348158677419,2.3733394145965576,3.116404414176941
Random search,3250,2.7180332064628603,2.3733394145965576,3.016203761100769
Random search,3500,2.684536596139272,2.3733394145965576,2.933132290840149
Random search,3750,2.660979386170705,2.3733394145965576,2.9277142882347107
Random search,4000,2.6478434761365253,2.36891508102417,2.9277142882347107
Random search,4250,2.5981427470843,2.36891508102417,2.860389292240143
Random search,4500,2.5981427470843,2.36891508102417,2.860389292240143
Random search,4750,2.5886436422665913,2.36891508102417,2.8490570187568665
Random search,5000,2.5758296608924867,2.36891508102417,2.847912311553955
Random search,5250,2.556045643488566,2.36891508102417,2.847912311553955
Random search,5500,2.553970042864482,2.3233970999717712,2.847912311553955
Random search,5750,2.551944931348165,2.3233970999717712,2.8122857213020325
Random search,6000,2.549244419733683,2.3233970999717712,2.8122857213020325
Random search,6250,2.533353892962138,2.3233970999717712,2.771452844142914
Random search,6500,2.533353892962138,2.3233970999717712,2.771452844142914
Random search,6750,2.533353892962138,2.3233970999717712,2.771452844142914
Random search,7000,2.5165414492289226,2.3233970999717712,2.771452844142914
Random search,7250,2.5164267937342326,2.3233970999717712,2.771452844142914
Random search,7500,2.5164267937342326,2.3233970999717712,2.771452844142914
Random search,7750,2.5164267937342326,2.3233970999717712,2.771452844142914
Random search,8000,2.5164267937342326,2.3233970999717712,2.771452844142914
Random search,8250,2.509286904335022,2.2948208451271057,2.771452844142914
Random search,8500,2.506657679875692,2.2948208451271057,2.771452844142914
Random search,8750,2.506657679875692,2.2948208451271057,2.771452844142914
Random search,9000,2.506657679875692,2.2948208451271057,2.771452844142914
Random search,9250,2.4574382384618123,2.242580235004425,2.6625651717185974
Random search,9500,2.4574382384618123,2.242580235004425,2.6625651717185974
Random search,9750,2.4574382384618123,2.242580235004425,2.6625651717185974
Random search,10000,2.4574382384618123,2.242580235004425,2.6625651717185974
Random search,10250,2.4541640758514403,2.2315964102745056,2.6625651717185974
Random search,10500,2.4518911202748614,2.2315964102745056,2.6621018648147583
Random search,10750,2.449151953061422,2.2315964102745056,2.6621018648147583
Random search,11000,2.449151953061422,2.2315964102745056,2.6621018648147583
